First Name,Last Name,Address,City,State,Zip Code,Phone,Email
Aarti,Mishra,8777 Birch St,Hyderabad,Telangana,500005,890-123-4567,aarti.mishra@example.com
Aditya,Patel,4555 Cedar St,Bangalore,Karnataka,560005,901-234-5678,aditya.patel@example.com
Aisha,Ali,8899 Birch St,Hyderabad,Telangana,500001,234-567-8901,aisha.ali@example.com
Amit,Desai,7788 Elm St,Delhi,Delhi,110001,789-012-3456,amit.desai@example.com
Amit,Deshmukh,5888 Cedar St,Pune,Maharashtra,411016,567-890-1234,amit.deshmukh@example.com
Anil,Joshi,6333 Elm St,Mumbai,Maharashtra,400007,789-012-3456,anil.joshi@example.com
Anita,Rao,2555 Oak St,Pune,Maharashtra,411010,012-345-6789,anita.rao@example.com
Ankur,Desai,8999 Elm St,Pune,Maharashtra,411022,901-234-5678,ankur.desai@example.com
Arjun,Gupta,4111 Maple St,Delhi,Delhi,110004,789-012-3456,arjun.gupta@example.com
Arpita,Joshi,1010 Birch St,Pune,Maharashtra,411024,456-789-0123,arpita.joshi@example.com
Deepak,Gupta,1445 Maple St,Pune,Maharashtra,411008,567-890-1234,deepak.gupta@example.com
Deepika,Patil,7666 Elm St,Pune,Maharashtra,411019,345-678-9012,deepika.patil@example.com
Divya,Reddy,6111 Birch St,Delhi,Delhi,110005,678-901-2345,divya.reddy@example.com
Geeta,Joshi,4333 Pine St,Pune,Maharashtra,411013,890-123-4567,geeta.joshi@example.com
Isha,Patil,9888 Cedar St,Delhi,Delhi,110007,345-678-9012,isha.patil@example.com
Jane,Smith,5678 Oak St,Pune,Maharashtra,411002,234-567-8901,jane.smith@example.com
Jitendra,Kumar,3222 Cedar St,Pune,Maharashtra,411011,345-678-9012,jitendra.kumar@example.com
John,Doe,1234 Elm St,Pune,Maharashtra,411001,123-456-7890,john.doe@example.com
Karan,Patil,3666 Elm St,Pune,Maharashtra,411012,567-890-1234,karan.patil@example.com
Kartik,Sharma,8111 Maple St,Pune,Maharashtra,411020,567-890-1234,kartik.sharma@example.com
Kavita,Reddy,4455 Pine St,Bangalore,Karnataka,560002,012-345-6789,kavita.reddy@example.com
Kiran,Reddy,9666 Pine St,Pune,Maharashtra,411023,234-567-8901,kiran.reddy@example.com
